Negative,سلام همین دیروز به دستم رسید راضی نبودم ازش ! ! یکم بزرگتر اگه بود بهتر می شد .
Negative,با سلام اولین چیزی که تو ذوق میزه اتصالات برقی شه که چینی ها امروزی تر هستند پیچ هواگیری بی کیفیت بود اصلا پیچه فکر کنم جام بود و با فشاری هم که بهش اومد خیلی سریع هرز شد ! ! من بخاطر حمایت از تولید داخل خریدم پشیمونم ادم پول بیشتر بده ولی همون خارجی برای مثال ایتالیایی بخره بهتره مخصصا اگر برای خودش بخواد استفاده کنه
Negative,پارسال برای کار اداری مجتمع خریدمش . کیفیتش به طرز عجیبی پایینه . البته خب با این پول نمیشد چیز بهتری گرفت . تصویرش یه کم مات و سایه داره . برای مصرف خانگی پیشنهادش نمیکنم . خلاصه فقط اگر مجبورید بخریدش
Negative,اصلا بدرد نمی خورد فقط نصف قیمتش بخاطر قابش بود که اندازه یه دفتر کلاسوری بود خوب هم نچسبید و بی کیفیت بود انداختمش
Negative,چسبندگی به حدی کمه که حتی با قیمت پایین تر هم توجیه پذیر نیست . از دیجی کالا انتظار داریم این موارد رو اطلاع رسانی بکنه
Negative,قیمت مناسب با توجه به جنس خریداری شده(البته در زمان تخفیف ) کیفیت پایین زیپ
Negative,واقعا ظعیفه چه از لحاظ بدنه چه قطعات استفاده شد
Negative,تا ما پول جور میکنیم بخریم تموم میشه خداکنه این دفعه 32 گیگش موجود بشه دیجی جون مارو یادت نره چیکار کنیم پولمون دیر جور میشه بچه ها از بیرون نخرید مطمعن نیست
Negative,این مچ بند کارایی خاص نداره فقط الکی پولمو هدر دادم . فقط یک ساعت دیجیتاله معمولیه
Negative,سایز و ابعاد خوبه و با چسبی که داره قابل تنظیمه اما این چسب پس از چند بار استفاده قابل استفاده نخواهد بود کلا به اندازه پولی که میدی نمی ارزه
Negative,اصلا راضی نیستم ازش من این محصول رو از دیجی کالا خریدم مژه هارو به هم میچسپونه و شبیه این ریمل های فیک ظاهر بدی به مژه ها میده
Negative,تنها اشکال مهمی که به نظرم بشه گرفت اینه که احتمال گم شدنش زیاد هست . چون کوچیکه و جایی هم برای وصل کردن بند یا حلقه نداره
Negative,لطفا بیارید یه کیف خریدم اصلا امنیت نداره وتوصیه میکنم اصلا ازبیرون نخرید .
Negative,تاچش خیلی خرابه اکثر تبلت های لنوو این مشکلو دارن اندرویدشم آپدیت پنج نداره که البته عجیب نیست بنظر من اگه تو این قیمت دنبال تبلت هستید رو این حساب نکنیدو برید سمت هواوی البته اینم بگم که اصلا هنگ نمیکنه شارژم خوب نگه میداره بلندگوهاشم که توپه
Negative,نمونه اش تو اسباب بازی فروشی ها شاید پیدا کرد یا پلاسکو ایی ها بدرد نمیخوره با این پول psp کارکرده بهتره از نظر من
Negative,سلام امکانش هست دوباره شارژش کنید ؟ بخش اطلاع رساتی درست کار نمی کنه . خیلی زمان میبره تا بخواد ثبت کنه .
Neutral,لطفا در پیشنهاد ویژه قرار دهید
Neutral,میشه یکم بذاری روش و Huawei G610 بگیری
Neutral,ظاهرا وقتی پرتاب کردی خودتم باید دنبالش بدوی چون دیگه پیدایش نمیکنی
Neutral,ممنون میشم محصول رو موجود کنید
Neutral,با سلام در صورت امکان لطفا موجود کنید با تشکر از شما
Neutral,ممنون از راهنماییت احسان غلامی عزیز من میخواستم یه ساب جی بی ال MS - 12SD4 بگیرم توان خروجی 450RMS اینو چطور میتونه ساپورت کنه ؟ بعد این امپی که گفتی تو دیجی نیست منم از جای دیگه نمیگیرم منتظر میمونم تا دیجی کالا بیاره دی جی کالا ممنون میشم امپیلی جی بی ال 1201 رو موجود کنی با ساب جی بی ال MS - 12SD4 خیلی طرفدار داره . .
Neutral,آقا جان لطفا جواب من رو بدید.لطفا این دستگاه کپی خوره ؟ آیا ما باید این دستگاه رو آپدیت کنیم ؟ ممنون میشم اگه جواب بدین
Neutral,لطف میکنین رنگ های دیگش رو بیارین مخصوصا قرمز
Neutral,لیوانهای زیبایی هستند و به میز شما جلوه ی خوبی میدهند . رنگ آبی ، سبز و بنفش را خریدم . لطفا ' رنگ نارنجی را هم عرضه کنید . برای تکمیل مجموعه میخوام . ممنون
Neutral,با سلام و عرض خسته نباشید خدمت پرسنل دیجی کالا . آقای محمد هادی کاظمیان گفته که بنده اطلاعی از این گوشی ندارم و اشتباه نظر دادم . . لطفا خودتان تحقیق کنید و ببنید استراتژی شرکت سامسونگ از ابتدا این گونه بوده که پرچم داران خود را با دو نوع پردازنده وارد بازار میکنه یکی اگزینوس و دیگری با پردازنده اسنپدراگون . به این ترتیب که پردازنده اسنپدراگون برای کشور های توسعه یافته و نسخه اگزینوس برای خاورمیانه و بطور کلی نسخه بین المللی این گوشی است تا کنون که گوشی های نوت3 و گلکسی اس 5 در بازار ایران با پردازنده اگزینوس قابل خرید می باشند و نسخه اسنپدراگون آن ها ممکن است در بازار وجود داشته باشد حالا به هر نحوه ای اما لاک هستند و آنلاک کردنشان سخت است و ممکن است مشکلاتی برای گوشی بوجود آورد نسخه اسنپدراگون برای اپراتور های آمریکایی و اروپایی مانند T-MOBILE و VODAFONEو . . تولید شده و سامسونگ برای ایران و در کل خاورمیانه این نسخه را نخواهد فرستاد . پس ابتدا خودتان اطلاعات جمع آوری کنید بعد اظهار نظر کنید . تمام صحبت های من با دلیل بوده و با پرسش از سایت سامسونگ این اطلاعات را جمع آوری کردم . . با تشکر
Neutral,لطفا کارت استیم هم بگزارید
Neutral,با سلام به همگی و تشکر از نقد و بررسی های همه . دیجی کلا محترم لطفا رنگ سفید رو موجود کنید قصد خرید از سایت شما رو دارم . با تشکر
Neutral,فک نمیکنم اصلا موجودشه توی بازارم کم پیدا میشه
Neutral,دوستان عزیز من این گوشیو از عسلویه خریدم و از خریدمم راضیم فقط یه مشکلی باهاش دارم و اون اینکه تو نقشه here نمیشه راهنمای مسیر رو فعال کرد و مدام میگه امکان هدایت شمادر این مسیر وجود ندارد ( مسیر شما از کشور یا منطقه ای می گذرد که هنوز روی نقشه موجود نیست ) این خیلی بده من قبلا از نقشه های نوکیا کلی لذت میبردم و از راهنمای صوتی استفاده میکردم اما الان نمیشه کسی میتونه راه حل این مشکلو بگه ؟ ممنونم
Neutral,دیجی کالای گرامی لطفا هرچه سریعتر لورد2015 رو بیار که خیلی منتظریم ، خواهش میکنم خواهش . . . من خیلی با نرم افزارهای مختلف سر و کله میزنم ولی کینگ و گردو انتظارات کاربران پرمصرف تر رو کاملا برطرف نمیکنه ، آخه مثلا چرا گوگل کروم باید توی دسته بندی مرورگرهای اینترنتی نباشه و جزء دسته بندی برنامه های گوگل باشه ، چرا باید کرک برنامه ها توی هارد اکسترنال اجرا نشه و چرا و چرا . . میگه : ' از گردو بپرس ! ' و میپرسیم و معلوم نیست کی جواب بدن . . . آخه ما چرا نباید یکی از مجموعه های لورد رو اینجا ببینیم ؟ کاری ندارم کدومشون بهترن ولی میبینید که بعضی از کاربراتون خواهان مجموعه های لورد هستن ، پس به خواسته هاشون گوش بدبد . به امید موفقیت بیشترتون ، خیلی ممنون .
Neutral,سلام لطفا مدل 32 گیگی و 2 گیگ رم رو قرار بدید که با همین قیمت در نمایندگی هست . من میخوام خرید کنم اما از شما نه نمایندگیش . سپاس منتظر اعمال تغییر هر چه سریعتر در عرضه این مدل هستم
Positive,من حدودا دو هفته و نیمه هست که این لب تاپ رو دارم و انواع و اقسام کار های گرافیکی رو روش تست کردم . . 1 . بازی ها رو با نهایت تنظیمات ULTRA به روانی اجرا کردم ( با دو ساعت بازی های جدیدی مثل blackops 3 و assassins creed syndicate به طور هم زمان ) اصلا حتی یک لگ هم نزد 2 . گرفتن رندر سنگین 3D max رو آخرین حد Subdivis و متریال های سنگین نوری و طلا و رزولوشن بالای 3440 ، کمتر از 10 دقیقه 3 . کار کردن با چندین برنامه در یکزمان 4 . سرعت بوت انقدر سریع که اجازه وارد شدن راحت به bios و منوی boot هم از شما میگیره 5 . این لب تاپ در واقع همون desktop هستش که باید همیشه برق بهش وصل باشه و کولینگ هم همراهتون باشه و ابدا به درد حمل و نقل آسان و این حرفا نمی خوره چون باطریش نسبت به سخت افزار های به کار رفته خیلی خیلی ضعیفه و کلا 1 ساعت میتونه شارژ رو نگه داره و این مورد که کولینگ یه دم باید همراتون باشه خب معلومه دیگه . . خودانی نتیجه کلی : یک ابر لب تاپ به تمام معنا که الان در بازار موجوده وتقریبا بی رقیب که کارت گرافیک pc روش سواره نه نسخه موبایل ( 980 نه 980m ) * اگر پول خریدشو دارید در حال حاضر ، یک ثانیه هم دریغ نکنید . . * باتشکر
Positive,سلام به همه دوستان خانم زرگر مرادی به نظر من هر دو برند خوب هستند اما باهزینه کمتری میتوانید lenovo a5500 بخرید از نظر کیفیت هم با این قیمت گزینه بسیار مناسبی است . من این تبلت رو از نزدیک دیدم وتبلتهای ایسوس زیادی رو هم باهاشون کار کردم . پس با اطمینان خرید کنید .
Positive,اگه دنبال یه مونوپاد بدون شاتر میگردید حتما این مونوپاد رو تهیه کنید و سراغ بقیه نرید در ضمن فک گیرنده این مونوپاد خیلی محکمه و اصلا خودبخود شل نمیشه
Positive,سلام من این گوشی رو نزدیک به چهار ساله دارم از همون زمان که وارد بازار شد و پرچم دار سونی بود تا الان که سری جدید سونی Xz وارد بازار شده اون زمان که خریدمش فکر نمی کردم بیش از دوسال دوام بیاره ولی الان باور دارم که حداقل دو سال دیگر بی عیب و نقص برام کار می کنه اصلا ازش خسته نشدم بنظر من از لحاظ طراحی و زیبایی تا کنون روی دستش نتونسته سونی طراحی کنه در این سه سال و نیم استفاده حتی یکبار هم نیاز ریست نداشتم داغ کردنش هم طبیعیه در کل بگم سونی اکسپریا Z تکرار نشدنیه
Positive,سلام تخفیف شگفت انگیز این پاور رو مناسب خریدکرد . کیفیت ساخت عالیست و رنگ بندی خوب هرسلیقه ای را راضی می کنه . بعد از دریافت پاور ، چهارچراغش شارژ بود وبا اون یک بار کامل و یک بار پنجاه درصد تبلت 500 mAh رو شارژ کرد . با آداپتور مولتی پد حدودا 9ساعت زمان برد تا شارژ کامل بشه ! دیجی کالا درتحویل به موقع کالا بدقول بود ! ! درمجموع از خریدم راضی ام
Positive,سلام خدمت همه . من دو روزه اینو گرفتم همه چیزش عالییه توپ توپ . باتریشم نسبت به صفحه نمایش عالیه . نکته:بار اول هفت ساعت باید بزنیش به شارژ اینطوری باطریش بهتر نگه میداره.خودمم دلیلشو نمیدونم . با تشکر از همگی
Positive,یه ماهه دارم ازش استفاده میکنم . . مشکل خاصی نداره . . بهترین مودم تو قیمت خودشه . . من راضیم . . امیدوارم شمام راضی باشین . .
Positive,ممنون میشم این مدل فروش ویژه بذارید خیلی خوبه و عامه پسنده
Positive,خیلی استد خوبیه فضا هار متنوعی داره فقط قبل از خرید به اندازش دقت کنید که بعدا پشیمون نشید
Positive,سلام به همه دوستان من الان یه هفته می شه دارمش کلا تبلت عالیه تو هیچی کم نمی یاره پورت otg رو هم پشتیبانی می کنه تو جعبشم هست تو هیچ بازی هم مشکلی نداره
