content,label,label_id,content_len
به گزارش خبرنگار فوتبال و فوتسال گروه ورزشی باشگاه خبرنگاران جوان، آبى پوشان با حضور در زمین صنایع دفاع به دویدن به دور زمین پرداختند. حسین حسینى با وجود آسیب دیدگى چشم در تمرینات تیمش حاضر شد. بازیکنان استقلال که روز گذشته به میدان رفتند بعد از ریکاوری، محل تمرین را ترک کردند. دروازه بانان تیم فوتبال استقلال به صورت اختصاصى تمرینات خود را دنبال کردند. کبودى چشم دروازه بان استقلال سوژه جدیدی برای بازیکنان استقلال بود. بازیکنان تیم فوتبال استقلال پس از گرم کردن به انجام پاسکاری ترکیبی پرداختند. در آیتم بعدى آبى پوشان زیر نظر شفر مرور تاکتیک سرعتی و گلزنی را در دستور کار قرار دادند. بخش پایانی تمرین استقلال، فوتبال ۶ نفره بود که برگزار شد. در تمرین امروز محسن کریمی و مامه بابا تیام در کار‌های گروهی شرکت داشتند.,ورزشی,6,134
بهروز اکرمی، در گفتگو با خبرنگار اجتماعی باشگاه خبرنگاران گفت: مجموعه وزارت تعاون، کار و رفاه اجتماعی از راه‌های مختلف از جمله ارائه تسهیلات واحدهای اقتصادی را حمایت می‌کند و در این راستا اداره کل تعاون، کار و رفاه اجتماعی استان نیز برای گسترش کارگاه‌ها و واحدهای تولیدی و طرح‌هایی که به منظور افزایش تولیدات و ایجاد اشتغال نیاز به حمایت دارند و همچنین برطرف شدن مشکلات تولید‌کنندگان و کارگران تمامی همت و توان خود را به کار گرفته است. وی، در ادامه با اشاره به وجود ظرفیت‌های فراوان تولیدی و صنعتی در استان هرمزگان اشاره کرد و تصریح کرد: باید حداکثر استفاده از ظرفیت‌های موجود صورت گیرد زیرا با این اقدام بسیاری از مشکلات بخش اشتغال رفع می‌شود. مدیر کل تعاون، کار و رفاه اجتماعی استان هرمزگان خاطرنشان کرد: در سال اقتصاد و فرهنگ با عزم ملی و مدیریت جهادی باید سعی کنیم تا مشکلات واحدهای صنعتی و تولیدی مورد توجه بیشتری قرار گیرد و این اداره کل در راستای این شعار ملی در حال رفع مشکلات با واحدهای صنعتی، کارآفرینان و تولید کنندگان و همراهی بیش از پیش با آن‌ها است. انتهای پیام/,اجتماعی,0,185
به گزارش خبرنگار حوزه شهری گروه اجتماعی باشگاه خبرنگاران جوان، سعید دهقان مدیر اشتغال و کارآفرینی اداره کل تعاون و رفاه استان تهران در پ-ن-دهمین جلسه کارگروه تخصصی اشتغال تهران با اشاره به اینکه استان تهران در سال‌های گذشته رتبه اول را در انعقاد قرارداد و پرداخت تسهیلات دارد، اظهار کرد: متاسفانه اعتباری را که باید در شهریور ماه جذب می‌کرد جذب نشد به همین دلیل به رتبه ٢٧ نزول پیدا کرد. دهقان افزود: ٢٧٠ میلیارد تومان اعتبار استان در سال گذشته بود که متاسفانه تاکنون از سوی بانک‌ها اهتصاص داده نشده است. وی ادامه داد: ١٠٦ میلیارد طرح روستایی و عشایری از سوی استانداری به بانک‌ها و موسسات معرفی شده که از این میزان٧٠ میلیاردطرح بررسی و ٢٩ میلیارد تومان انعقاد قرارداد صورت گرفته است. مدیر اشتغال و کارآفرینی اداره کل تعاون و رفاه استان تهران بیان اینکه بیشترین واحد‌های تولیدی در روستا‌ها قرار گرفته است، تصریح کرد: چرا تاکنون به طرح‌هایی که قرارداد بسته شده تسهیلات ارائه نشده است. وی افزود: ٤٨ میلیارد تومان اعتبار ابلاغی استان تهران است که تاکنون ١٣ میلیارد و ٩٠٠٠ میلیون تومان آن پرداخت شده است و عملکرد بانک‌ها در ارائه تسهیلات به کارآفرینان ضعیف بوده است. دهقان گفت: متاسفانه بانک‌ها و صندوق‌ها عملکرد ضعیفی در تحصیص وام‌های خوداشتغالی داشته‌اند.,اجتماعی,0,207
به گزارش گروه اجتماعی باشگاه خبرنگاران، فتح اللهی با بیان این که ریزدانگی، نفوذ ناپذیری، کمبود و کسری خدمات از جمله مهمترین مسائل عملکردی و کالبدی محلات دارای بافت فرسوده هستند، گفت: عمده راه حل‌های برون رفت از این مشکلات در سالیان گذشته بر مبنای تکیه بر مشوق‌های مالی، مشوق‌های ضابطه‌ای و قوانین شهرسازی و مواردی از این دست بوده که تا حدود زیادی توانسته است در راستای جلب حمایت و مشارکت شهروندان در نوسازی بافت فرسوده موثر واقع شود. وی ادامه داد: با توجه به پیچیدگی فراوان مسائل و مشکلات بیان شده در بافت‌های فرسوده شهری و نیز لزوم بهره برداری هرچه بیشتر از سهم تشویقی ساکنان، مالکان و سرمایه گذاران در نوسازی مردمی و در عین حال رفع نیازهای خدماتی محلات دارای این بافت، نوسازی در مقیاس بلوک شهری به عنوان یکی از راه حل‌های پیش بینی شده معرفی شده است. مدیرعامل سازمان نوسازی شهر تهران در این باره توضیح داد: در این رویکرد، بیشترین امتیازات اعم از حمایت از مالکین و سازندگان در مراحل تعریف پروژه، طراحی، تشکیل پرونده، اخذ مجوز و نظارت بر کیفیت ساخت و ساز برای پروژه‌های در مقیاس بلوک شهری پیش بینی شده است. به گفته وی زمینه دریافت اطلاع از چگونگی دریافت این مشوق‌ها از طریق دفاتر خدمات نوسازی محلات فراهم شده و این دفاتر تا آخرین مراحل اتمام و بهره برداری از پروژه‌های نوسازی در مقیاس بلوک شهری، همراه مالکین و سازندگان خواهند بود. فتح اللهی در پایان یادآور شد: شهروندان تهرانی می‌توانند با مراجعه به دفاتر خدمات نوسازی، ضمن بهره مندی از این مشوق‌ها، از همراهی و مساعدت دفاتر خدمات نوسازی در همه مراحل نوسازی بهره مند شوند. انتهای پیام /,اجتماعی,0,271
یک زن سویٔدی به تازگی موفق به دریافت یک پروتز دست با عضلات و اعصاب شده است. این زن اولین فرد در جهان است که پروتز دستی با این شکل دریافت می‌کند. عملکرد این دست به نحوی است که به صاحب خود احساس منتقل می‌کند. این دست بر خلاف نمونه‌های سابق است و بازوی صاحب دست متعلق به خودش باقی می‌ماند. این پروژه با همکاری محققان دانشگاه فناوری چالمرز سویٔد و Scuola Superiore Sant’Anna ایتالیا و شرکت سویٔدی Integrum AB انجام شده است. این پروتز به یک جفت میله تیتانیومی قابل کاشت متصل می‌شود و یکی از این میله‌ها به استخوان زند زیرین و دیگری به استخوان زند زبرین متصل می‌شود. استخوان زند زیرین یکی از دو استخوان طویلی است که در ساعد قرار دارد و مچ دست را به آرنج متصل کرده و به بدن نزدیکتر است. زند زبرین استخوانی است بلند در سمت خارجی ساعد که موازی زند زیرین بوده و مچ دست را به آرنج متصل می‌کند. در این پروتز در استخوان‌های زند زیرین نیز الکترودهایی قرار می‌گیرد که به اعصاب و عضلات نزدیک خود کشش پیدا می‌کنند. این الکترودها برای خواندن قصد کاربر استفاده می‌شوند تا احساس مربوطه را به وی انتقال دهند. در دستان این زن سویٔدی ۱۶ الکترود به کار رفته و احساسی که وی با استفاده از این دست دریافت می‌کند دقیق‌تر از حس لامسه است. تاکنون این پروتز تنها در دست این یک نفر آزمایش شده و استفاده گسترده‌تر از آن زمان بر است زیرا این زن باید وزن پروتز را تحمل کندو با آن احساس راحتی پیدا کند. ۵۶۵۶,علمی فناوری,4,258
پیام فرحبخش متخصص تغذیه در گفتگو با خبرنگار بهداشت و درمان باشگاه خبرنگاران، افزود: اگر افراد قصد استفاده از گوشت قرمز را دارند بهتر است چربی‌های آن را جدا کنند و بهترین روش طبخ برای گوشت‌ها بخارپز و آب پز کردن آن‌ها است زیرا سرخ کردن گوشت و افزودن چربی اضافه به آن نیز روش صحیح مصرف نیست. فرح‌بخش عنوان کرد: ‌ میزان پروتئین مورد نیاز روزانه حدود ۱۲ تا ۱۵ درصد از کالری روزانه افراد را تشکیل می‌دهد که می‌توان میزان را از منابع حیوانی و گیاهی تأمین کرد اگر فرد بخواهد از منابع گیاهی استفاده کند بهترین پروتئین در سویا وجود دارد که به افراد گیاه خوار پیشنهاد می‌شود اما در مواردی که استفاده از گوشت حیوانی مد نظر است بین گوشت قرمز، مرغ و ماهی معمولا ماهی بهترین گوشت را دارد. چرا که حاوی امگا ۳ بوده و برای سلامت قلب و عروق مفید است. وی افزود: استفاده از گوشت مرغ برای افرادی که فشار خون یا اسید اوریک بالایی دارند توصیه می‌شود.,پزشکی,7,166
در این تحقیقات پس از انجام جراحی و خارج کردن تومور ملانوم از بدن موش‌ها، محققان محل زخم جراحی را با استفاده از افشانه کلسیم کربنات آغشته کردند. در نتیجه این اقدام رشد سلول‌های سرطانی کاهش یافت و موش‌ها توانستند حداقل ۶۰ روز را بدون رشد مجدد تومور سپری کنند. کلسیم کربنات یک ماده معدنی است که در پوسته تخم مرغ و در سنگ‌ها یافت می‌شود و پروتیٔین CD۴۷ را در سلول‌های سرطانی غیرفعال می‌کند. این پروتیٔین سیگنال هایی ایجاد می‌کند که از سلول‌های سرطانی در برابر سیستم ایمنی بدن محافظت می‌کنند. کلسیم کربنات در محل زخم‌ها حل شده و ماکروفاژهایی را فعال می‌کند که امکان بیرون راندن اشیای خارجی را از بدن فراهم می‌کنند. ماکروفاژها سلول‌های بیگانه خوار هستند که سلول‌های فرسوده و بقایای سلولی را به درون خود کشیده و توسط آنزیم‌ها آن‌ها را از بین می‌برند. به گفته محققان ژل کلسیم کربنات که در این تحقیقات به شکل افشانه مورد استفاده قرار گرفت، یکی از بزرگترین موانع درمان سرطان را از پیش رو برمی دارد. یکی از ویژگی‌های سرطان، پخش شدن آن در بدن است. در واقع ۹۰ درصد از افراد مبتلا به تومورهای سرطانی به دلیل بازگشت سرطان یا متازتاز جان خود را از دست می‌دهند. در حال حاضر محققان در تلاشند تا عملکرد این افشانه را در آزمایشات بیشتری مورد بررسی قرار داده و در صورت امکان مجوز استفاده از آن را روی انسان دریافت کنند. گزارش کامل این تحقیقات در نشریه Nature Nanotechnology منتشر شده است. ۵۶۵۶,علمی فناوری,4,243
به گزارش سرویس بین‌الملل باشگاه خبرنگاران به نقل از خبرگزاری آلمان، محمد علی احمدی معاون استاندار استان غزنی گفت شورشیان طالبان یک دستگاه اتوبوس را که از کابل، پایتخت افغانستان، راهی یکی از مناطق دور افتاده بود متوقف کردند و پنج نفر را از بیرون کشیدند و به سرعت کشتند. وی افزود پلیس اجساد این پنج نفر را در منطقه اندار پیدا کرده است. گروه طالبان چهارشنبه گذشته از جنگجویانش خواسته بود احتیاط کنند تا جلوی کشته شدن غیر نظامیان گرفته شود. گروه طالبان افزوده بود دشمن تلاش می‌کند مسئولیت کشته شدن غیر نظامیان را به گردن طالبان بیاندازد. احمدی گفت: ما مطمئن هستیم طالبان این قتلها را مرتکب شده است و پیش از این حادثه نیز دو زن و کودک را با پرتاب بمب به خانه‌ای در منطقه موکور کشته بودند.,بین الملل,2,132
فرنوش نوبخت مدیرعامل شرکت بهره برداری مترو تهران و حومه در گفتگو با خبرنگار حوزه شهری گروه اجتماعی باشگاه خبرنگاران جوان، با اشاره به فعالیت دست فروشان در مترو اظهار کرد: این افراد تعدادشان در حال افزایش است؛ اما بر فعالیت آنها نظارت می‌شود. مدیرعامل شرکت بهره برداری مترو تهران و حومه با بیان اینکه این افراد به عنوان مسافر داخل مترو می‌شوند و شروع به دست فروشی می‌کنند، افزود: برخی از دستفروشان زن هستند که برای مقابله با آنها محدودیت‌هایی وجود دارد. وی ادامه داد: بهترین راه پیشگیری از حضور دست فروشان در مترو، عدم خرید مسافران است. مسافران مترو باید در بخشی از این موضوع با ما همکاری کنند، چرا که روزانه بیش از ۱۲۰ قطار در حال حرکت است و هر یک از این قطار‌ها ۷ واگن دارد و به اندازه همه‌ واگن‌ها نیرو نداریم.,اجتماعی,0,138
به گزارش حوزه ادبیات گروه فرهنگی باشگاه خبرنگاران جوان؛ طی آخرین مصوبات هیات امنای جایزه ادبی پروین اعتصامی و در راستای گام نهادن هرچه بیشتر زبان فارسی به عرصه‌های بین‌المللی از یک زن غیرایرانی فعال در حوزه زبان و ادبیات فارسی در هفتمین دوره این جایزه تقدیر خواهد شد. هیات امنای جایزه ادبی پروین، همچنین تقدیر از یک پروین‌پژوه و یک یا دو زن فعال و برجسته در حوزه ادبیات، پژوهش، نشر، ترویج کتاب و کتابخوانی و تولید آثار خلاقه را در دستور کار هفتمین دوره این جایزه قرار داد. مصون ماندن این اتفاق ادبی از افراط و تفریط‌ها در زمینه فمینیسم و توجه به طرح مسایل اجتماعی و اخلاقی در آثار مورد بررسی از مواردی است که هیات امنای هفتمین جایزه ادبی پروین بر آن تاکید دارد. یادآور می‌شود، اعضای هیات‌ علمی هفتمین دوره جایزه ادبی پروین اعتصامی به زودی با نظر هیات امنا و حکم وزیر فرهنگ و ارشاد اسلامی معرفی می‌شوند و این جایزه با اعلام فراخوان رسمی، وارد مراحل داوری آثار می‌شود. طبق اساسنامه جایزه ادبی پروین، برگزیدگان این جایزه ۱۲ سکه بهار آزادی و تقدیرشوندگان آن ۴ سکه بهار آزادی دریافت می‌کنند. انتهای پیام/,فرهنگی هنری,5,189
